ALA Aland Islands        AXala-aland-islands 000000000000000000000000000000002020-04-22T16:54:51Z
Afghanistan              AFafghanistan       000660010920000000036000150001502020-04-22T16:54:51Z
Albania                  ALalbania           000250006090000000026000180003452020-04-22T16:54:51Z
Algeria                  DZalgeria           000930028110000800392000530011522020-04-22T16:54:51Z
American Samoa           ASamerican-samoa    000000000000000000000000000000002020-04-22T16:54:51Z
Andorra                  ADandorra           000000007170000000037000340002822020-04-22T16:54:51Z
Angola                   AOangola            000000000240000000002000000000062020-04-22T16:54:51Z
Anguilla                 AIanguilla          000000000000000000000000000000002020-04-22T16:54:51Z
Antarctica               AQantarctica        000000000000000000000000000000002020-04-22T16:54:51Z
Antigua and Barbuda      AGantigua-barbuda   000000000230000000003000040000072020-04-22T16:54:51Z
Argentina                ARargentina         000900030310001100147010384000002020-04-22T16:54:51Z
Armenia                  AMarmenia           000620014010000200024000290006092020-04-22T16:54:51Z
Aruba                    AWaruba             000000000000000000000000000000002020-04-22T16:54:51Z
Australia                AUaustralia         000000065470000000067000000041242020-04-22T16:54:51Z
Austria                  ATaustria           000780148730002100491003400109712020-04-22T16:54:51Z
Azerbaijan               AZazerbaijan        000440014800000100020000740008652020-04-22T16:54:51Z
Bahamas                  BSbahamas           000050000650000000009000010000122020-04-22T16:54:51Z
Bahrain                  BHbahrain           000660019730000000007000150007842020-04-22T16:54:51Z
Bangladesh               BDbangladesh        004340033820000900110000020000872020-04-22T16:54:51Z
Barbados                 BBbarbados          000000000750000000005000060000252020-04-22T16:54:51Z
Belarus                  BYbelarus           004590067230000400055000630005772020-04-22T16:54:51Z
Belgium                  BEbelgium           009730409560017005998001070090022020-04-22T16:54:51Z
Belize                   BZbelize            000000000180000000002000000000022020-04-22T16:54:51Z
Benin                    BJbenin             000000000540000000001000000000272020-04-22T16:54:51Z
Bermuda                  BMbermuda           000000000000000000000000000000002020-04-22T16:54:51Z
Bhutan                   BTbhutan            000010000060000000000000000000022020-04-22T16:54:51Z
Bolivia                  BObolivia           000340005980000100034000060000372020-04-22T16:54:51Z
Bosnia Herzegovina       BAbosnia herzegovina000330013420000200051000560004372020-04-22T16:54:51Z
Botswana                 BWbotswana          000000000200000000001000000000002020-04-22T16:54:51Z
Bouvet Island            BVbouvet-island     000000000000000000000000000000002020-04-22T16:54:51Z
Brazil                   BRbrazil            023360430790015402741008610229912020-04-22T16:54:51Z
British Indian Ocean TerrIObritishindianocean000000000000000000000000000000002020-04-22T16:54:51Z
British Virgin Islands   VGbritish-virgin-isl000000000000000000000000000000002020-04-22T16:54:51Z
Brunei Darussalam        BNbrunei            000000001380000000001000000001162020-04-22T16:54:51Z
Bulgaria                 BGbulgaria          000460009750000200045000030001702020-04-22T16:54:51Z
Burkina Faso             BFburkina-faso      000190006000000000038000050003622020-04-22T16:54:51Z
Burundi                  BIburundi           000000000500000100000000040000002020-04-22T16:54:51Z
Cambodia                 KHcambodia          000000012200000000003001100000002020-04-22T16:54:51Z
Cameroon                 CMcameroon          000000011630000100043000240003292020-04-22T16:54:51Z
Canada                   CAcanada            017440039402018301909006450131882020-04-22T16:54:51Z
Cape Verde               CVcape-verde        000010006800000000000000100000002020-04-22T16:54:51Z
Cayman Islands           KYcayman-islands    000000000000000000000000000000002020-04-22T16:54:51Z
Central African Republic CFcentral-african-re000020001400000000006000100000002020-04-22T16:54:51Z
Chad                     TDchad              000000003300000000000000080000002020-04-22T16:54:51Z
Chile                    CLchile             003250108320000800147002930049692020-04-22T16:54:51Z
China                    CNchina             030060838530000004636000540777992020-04-22T16:54:51Z
Christmas Island         CXchristmas-island  000000000000000000000000000000002020-04-22T16:54:51Z
